tier,file,area_cm2,over45,over60,worst,support_cm3,gap_max_mm,flip_over45,flip_over60,flip_worst,flip_support_cm3,flip_gap_max_mm,better_flipped
shape only,P03_FRONT_FENDER_L_s06.stl,288.819,0.474,0.474,90.0,48.714,3.951,0.474,0.474,90.0,46.283,5.624,
shape only,P03_FRONT_FENDER_L_s07.stl,83.668,0.449,0.449,81.263,44.081,19.668,0.449,0.449,81.263,43.859,20.833,
shape only,P03_FRONT_FENDER_L_s08.stl,834.304,0.48,0.48,89.757,1026.678,36.84,0.48,0.48,89.757,633.719,36.44,yes
shape only,P03_FRONT_FENDER_L_s09.stl,1087.752,0.484,0.484,85.118,1269.656,44.594,0.484,0.484,85.118,1272.151,44.307,
shape only,P03_FRONT_FENDER_L_s10.stl,227.345,0.0,0.0,0.0,0.0,0.0,0.472,0.472,90.0,32.185,3.0,
shape only,P03_FRONT_FENDER_L_s11.stl,1210.188,0.487,0.487,89.737,1493.837,33.705,0.487,0.487,89.737,710.371,36.19,yes
shape only,P03_FRONT_FENDER_L_s12.stl,96.822,0.442,0.442,86.821,39.245,12.692,0.442,0.442,86.821,32.724,13.507,
shape only,P03_FRONT_FENDER_L_s13.stl,28.851,0.273,0.273,85.537,0.624,1.193,0.273,0.273,85.537,2.985,4.289,
shape only,P03_FRONT_FENDER_L_s14.stl,2132.507,0.219,0.219,86.459,7402.432,183.622,0.221,0.22,89.059,1565.458,191.078,yes
shape only,P03_FRONT_FENDER_L_s15.stl,279.77,0.47,0.452,73.25,416.393,54.233,0.47,0.452,73.25,357.176,58.443,
shape only,P03_FRONT_FENDER_L_s15b.stl,31.482,0.099,0.099,70.3,0.266,1.172,0.099,0.099,70.3,3.547,11.628,
shape only,P03_FRONT_FENDER_L_s16.stl,224.161,0.471,0.471,90.0,37.647,3.951,0.471,0.471,90.0,35.643,5.624,
shape only,P03_FRONT_FENDER_L_s17.stl,28.954,0.33,0.0,52.194,0.0,0.0,0.33,0.0,52.194,0.0,0.0,
shape only,P03_FRONT_FENDER_L_s18.stl,263.253,0.468,0.468,81.59,174.765,28.818,0.468,0.468,81.59,227.348,27.679,
shape only,P03_FRONT_FENDER_L_s19.stl,1276.251,0.483,0.475,84.617,2752.785,85.958,0.483,0.475,84.617,2663.672,87.695,
shape only,P03_FRONT_FENDER_L_s20.stl,171.96,0.0,0.0,0.0,0.0,0.0,0.468,0.468,90.0,24.167,3.0,
shape only,P03_FRONT_FENDER_L_s21.stl,14.333,0.377,0.377,66.25,2.225,4.197,0.377,0.377,66.25,3.673,6.876,
shape only,P03_FRONT_FENDER_L_s22.stl,11.905,0.103,0.103,69.032,0.069,0.735,0.103,0.103,69.032,1.396,11.545,
shape only,P03_FRONT_FENDER_L_s23.stl,13.841,0.101,0.101,65.185,0.091,0.871,0.101,0.101,65.185,1.585,11.578,
shape only,P03_FRONT_FENDER_L_s24.stl,208.829,0.027,0.027,80.083,1.232,10.115,0.027,0.027,80.083,28.429,52.609,
shape only,P03_FRONT_FENDER_L_s25.stl,41.894,0.088,0.088,75.564,9.146,26.225,0.088,0.088,75.564,4.651,36.942,yes
shape only,P03_FRONT_FENDER_L_s26.stl,21.867,0.066,0.066,82.41,0.086,0.807,0.066,0.066,82.41,2.506,17.513,
shape only,P03_FRONT_FENDER_L_s27.stl,1180.059,0.315,0.267,89.968,6778.644,229.068,0.317,0.269,90.0,563.678,231.25,yes
shape only,P03_FRONT_FENDER_L_s27b.stl,13.786,0.077,0.077,67.535,0.347,4.024,0.077,0.077,67.535,1.578,15.641,
shape only,P03_FRONT_FENDER_L_s28.stl,1952.37,0.222,0.211,86.6,5502.91,173.56,0.226,0.215,90.0,2096.918,180.829,yes
shape only,P03_FRONT_FENDER_L_s29.stl,893.505,0.0,0.0,13.72,0.0,0.0,0.162,0.162,89.809,1220.622,84.492,
shape only,P03_FRONT_FENDER_L_s30.stl,149.08,0.458,0.152,66.371,76.364,39.669,0.458,0.152,66.371,27.012,19.634,yes
shape only,P03_FRONT_FENDER_L_s31.stl,76.406,0.447,0.447,80.966,22.335,10.112,0.447,0.447,80.966,33.3,15.029,
shape only,P03_FRONT_FENDER_L_s32.stl,31.78,0.429,0.429,82.852,3.943,4.984,0.429,0.429,82.852,8.125,7.032,
shape only,P03_FRONT_FENDER_L_s33.stl,24.126,0.417,0.417,83.387,3.877,5.558,0.417,0.417,83.387,5.976,6.552,
shape only,P03_FRONT_FENDER_L_s34.stl,578.01,0.0,0.0,20.149,0.0,0.0,0.014,0.014,86.786,83.859,102.663,
shape only,P03_FRONT_FENDER_L_s35.stl,550.066,0.335,0.0,49.443,0.0,0.0,0.335,0.0,49.443,0.0,0.0,
shape only,P03_FRONT_FENDER_L_s36.stl,2367.182,0.004,0.003,77.799,28.089,60.506,0.119,0.118,90.0,3256.636,117.204,
shape only,P03_FRONT_FENDER_L_s36b.stl,15.593,0.398,0.398,82.014,1.666,3.475,0.398,0.398,82.014,3.562,7.389,
shape only,P03_FRONT_FENDER_L_s36c.stl,29.806,0.428,0.428,83.102,4.215,4.055,0.428,0.428,83.102,7.431,6.752,
shape only,P03_FRONT_FENDER_L_s36d.stl,23.063,0.416,0.416,78.635,3.166,4.623,0.416,0.416,78.635,5.698,6.732,
shape only,P03_FRONT_FENDER_L_s37.stl,32.092,0.428,0.428,87.871,2.288,2.527,0.428,0.428,87.871,9.01,7.455,
shape only,P03_FRONT_FENDER_L_s38.stl,24.803,0.42,0.42,84.141,2.099,2.611,0.42,0.42,84.141,5.905,6.638,
shape only,P03_FRONT_FENDER_L_s39.stl,21.018,0.413,0.413,83.517,2.106,3.712,0.413,0.413,83.517,5.68,7.261,
shape only,P03_FRONT_FENDER_L_s40.stl,20.284,0.377,0.377,69.553,3.848,7.083,0.377,0.377,69.553,4.104,6.496,
shape only,P03_FRONT_FENDER_L_s41.stl,16.031,0.392,0.392,66.402,2.94,5.668,0.392,0.392,66.402,3.586,7.276,
shape only,P03_FRONT_FENDER_L_s42.stl,14.583,0.388,0.388,73.91,1.569,3.836,0.388,0.388,73.91,2.954,5.873,
shape only,P03_FRONT_FENDER_L_s43.stl,1296.706,0.477,0.446,87.263,2757.825,107.887,0.477,0.446,87.263,3719.067,111.751,
shape only,P03_FRONT_FENDER_L_s44.stl,1743.939,0.335,0.239,90.0,4916.273,194.08,0.335,0.239,90.0,3363.106,165.961,yes
shape only,P03_FRONT_FENDER_L_s44b.stl,41.469,0.071,0.071,74.82,0.414,1.894,0.071,0.071,74.82,5.115,17.66,
shape only,P03_FRONT_FENDER_L_s44c.stl,27.895,0.075,0.075,70.867,0.484,3.399,0.075,0.075,70.867,3.324,16.913,
shape only,P03_FRONT_FENDER_L_s45.stl,2023.917,0.366,0.31,71.968,9554.862,201.516,0.366,0.31,71.968,3322.194,204.29,yes
shape only,P03_FRONT_FENDER_L_s46.stl,732.605,0.275,0.129,86.545,723.183,115.34,0.275,0.129,86.545,426.025,120.176,yes
shape only,P04_FRONT_FENDER_R_s01.stl,515.325,0.476,0.476,81.162,765.126,70.918,0.476,0.476,81.162,1057.399,71.672,
shape only,P04_FRONT_FENDER_R_s02.stl,1238.091,0.486,0.486,84.7,2046.06,67.538,0.486,0.486,84.7,2664.896,74.617,
shape only,P04_FRONT_FENDER_R_s03.stl,176.852,0.461,0.429,84.467,152.435,31.425,0.461,0.429,84.467,131.669,35.311,
shape only,P04_FRONT_FENDER_R_s04.stl,1121.533,0.449,0.3,87.052,2514.361,106.991,0.449,0.3,87.052,1219.537,68.939,yes
shape only,P04_FRONT_FENDER_R_s05.stl,1671.253,0.21,0.167,86.519,4830.37,195.601,0.21,0.167,86.519,754.268,199.456,yes
shape only,P04_FRONT_FENDER_R_s06.stl,288.819,0.474,0.474,90.0,48.714,3.951,0.474,0.474,90.0,46.283,5.624,
shape only,P04_FRONT_FENDER_R_s07.stl,83.668,0.449,0.449,81.263,44.081,19.668,0.449,0.449,81.263,43.859,20.833,
shape only,P04_FRONT_FENDER_R_s08.stl,834.304,0.48,0.48,89.757,1026.678,36.84,0.48,0.48,89.757,633.719,36.44,yes
shape only,P04_FRONT_FENDER_R_s09.stl,1087.752,0.484,0.484,85.118,1269.656,44.594,0.484,0.484,85.118,1272.151,44.307,
shape only,P04_FRONT_FENDER_R_s10.stl,227.345,0.0,0.0,0.0,0.0,0.0,0.472,0.472,90.0,32.185,3.0,
shape only,P04_FRONT_FENDER_R_s11.stl,1210.188,0.487,0.487,89.737,1493.838,33.705,0.487,0.487,89.737,710.37,36.19,yes
shape only,P04_FRONT_FENDER_R_s12.stl,96.822,0.442,0.442,86.821,39.245,12.692,0.442,0.442,86.821,32.724,13.507,
shape only,P04_FRONT_FENDER_R_s13.stl,28.851,0.273,0.273,85.537,0.624,1.193,0.273,0.273,85.537,2.985,4.289,
shape only,P04_FRONT_FENDER_R_s14.stl,2132.507,0.219,0.219,86.464,7403.12,183.622,0.22,0.22,89.058,1566.475,191.078,yes
shape only,P04_FRONT_FENDER_R_s15.stl,279.77,0.47,0.452,73.25,416.393,54.233,0.47,0.452,73.25,357.176,58.443,
shape only,P04_FRONT_FENDER_R_s15b.stl,31.482,0.099,0.099,70.306,0.263,1.117,0.099,0.099,70.306,3.55,11.789,
shape only,P04_FRONT_FENDER_R_s16.stl,224.161,0.093,0.093,78.69,4.159,2.667,0.474,0.474,90.0,69.557,6.942,
shape only,P04_FRONT_FENDER_R_s17.stl,28.954,0.33,0.0,52.232,0.0,0.0,0.33,0.0,52.232,0.0,0.0,
shape only,P04_FRONT_FENDER_R_s18.stl,263.253,0.468,0.468,81.59,174.765,28.818,0.468,0.468,81.59,227.348,27.679,
shape only,P04_FRONT_FENDER_R_s19.stl,1276.251,0.483,0.475,84.617,2752.858,85.958,0.483,0.475,84.617,2663.891,87.695,
shape only,P04_FRONT_FENDER_R_s20.stl,171.96,0.0,0.0,0.0,0.0,0.0,0.468,0.468,90.0,24.167,3.0,
shape only,P04_FRONT_FENDER_R_s21.stl,14.333,0.377,0.377,66.25,2.225,4.197,0.377,0.377,66.25,3.673,6.876,
shape only,P04_FRONT_FENDER_R_s22.stl,11.905,0.103,0.103,69.032,0.069,0.754,0.103,0.103,69.032,1.396,11.564,
shape only,P04_FRONT_FENDER_R_s23.stl,13.841,0.101,0.101,65.185,0.091,0.863,0.101,0.101,65.185,1.585,11.578,
shape only,P04_FRONT_FENDER_R_s24.stl,208.829,0.027,0.027,80.083,1.233,10.3,0.027,0.027,80.083,28.428,52.609,
shape only,P04_FRONT_FENDER_R_s25.stl,41.894,0.088,0.088,75.564,9.144,26.209,0.088,0.088,75.564,4.653,37.035,yes
shape only,P04_FRONT_FENDER_R_s26.stl,21.867,0.066,0.066,82.334,0.084,0.773,0.066,0.066,82.334,2.508,17.444,
shape only,P04_FRONT_FENDER_R_s27.stl,1180.013,0.315,0.267,89.968,6778.862,229.068,0.317,0.269,90.0,563.463,231.25,yes
shape only,P04_FRONT_FENDER_R_s27b.stl,13.786,0.077,0.077,67.535,0.347,4.375,0.077,0.077,67.535,1.578,15.992,
shape only,P04_FRONT_FENDER_R_s28.stl,1952.37,0.222,0.211,86.837,5502.987,173.56,0.226,0.215,90.0,2097.405,180.842,yes
shape only,P04_FRONT_FENDER_R_s29.stl,893.505,0.0,0.0,13.72,0.0,0.0,0.162,0.162,89.809,1220.622,84.492,
shape only,P04_FRONT_FENDER_R_s30.stl,149.08,0.458,0.152,66.371,76.364,39.669,0.458,0.152,66.371,27.012,19.634,yes
shape only,P04_FRONT_FENDER_R_s31.stl,76.406,0.447,0.447,80.966,22.3,10.112,0.447,0.447,80.966,33.334,15.029,
shape only,P04_FRONT_FENDER_R_s32.stl,31.78,0.429,0.429,82.852,3.943,4.695,0.429,0.429,82.852,8.125,7.032,
shape only,P04_FRONT_FENDER_R_s33.stl,24.126,0.417,0.417,83.387,3.877,5.558,0.417,0.417,83.387,5.976,6.552,
shape only,P04_FRONT_FENDER_R_s34.stl,578.01,0.0,0.0,20.149,0.0,0.0,0.014,0.014,86.788,83.855,102.663,
shape only,P04_FRONT_FENDER_R_s35.stl,550.066,0.335,0.0,49.43,0.0,0.0,0.335,0.0,49.43,0.0,0.0,
shape only,P04_FRONT_FENDER_R_s36.stl,2367.146,0.004,0.003,77.799,28.084,60.462,0.119,0.118,90.0,3256.641,117.204,
shape only,P04_FRONT_FENDER_R_s36b.stl,15.593,0.398,0.398,82.014,1.675,4.019,0.398,0.398,82.014,3.553,7.389,
shape only,P04_FRONT_FENDER_R_s36c.stl,29.806,0.428,0.428,83.816,4.249,4.962,0.428,0.428,83.816,7.397,6.752,
shape only,P04_FRONT_FENDER_R_s36d.stl,23.063,0.416,0.416,78.635,3.166,4.623,0.416,0.416,78.635,5.698,6.732,
shape only,P04_FRONT_FENDER_R_s37.stl,32.092,0.428,0.428,87.871,2.288,2.527,0.428,0.428,87.871,9.01,7.455,
shape only,P04_FRONT_FENDER_R_s38.stl,24.803,0.42,0.42,84.141,2.099,2.611,0.42,0.42,84.141,5.905,6.638,
shape only,P04_FRONT_FENDER_R_s39.stl,21.018,0.413,0.413,83.517,2.106,3.712,0.413,0.413,83.517,5.68,7.261,
shape only,P04_FRONT_FENDER_R_s40.stl,20.284,0.377,0.377,69.553,3.848,7.083,0.377,0.377,69.553,4.104,6.496,
shape only,P04_FRONT_FENDER_R_s41.stl,16.031,0.392,0.392,66.402,2.94,5.668,0.392,0.392,66.402,3.586,7.276,
shape only,P04_FRONT_FENDER_R_s42.stl,14.583,0.388,0.388,73.91,1.569,3.836,0.388,0.388,73.91,2.954,5.873,
shape only,P04_FRONT_FENDER_R_s43.stl,1296.707,0.477,0.445,87.263,2756.149,107.979,0.477,0.445,87.263,3706.124,111.751,
shape only,P04_FRONT_FENDER_R_s44.stl,1743.942,0.335,0.239,90.0,4918.827,194.08,0.335,0.239,90.0,3362.19,165.961,yes
shape only,P04_FRONT_FENDER_R_s44b.stl,41.469,0.071,0.071,74.822,0.414,1.8,0.071,0.071,74.822,5.115,17.922,
shape only,P04_FRONT_FENDER_R_s44c.stl,27.895,0.075,0.075,70.872,0.484,3.728,0.075,0.075,70.872,3.324,17.242,
shape only,P04_FRONT_FENDER_R_s45.stl,2023.914,0.366,0.309,71.968,9541.375,201.516,0.366,0.309,71.968,3317.667,204.614,yes
shape only,P04_FRONT_FENDER_R_s46.stl,732.603,0.275,0.13,86.545,726.407,115.34,0.275,0.13,86.545,426.887,119.923,yes
shape only,P09_DOOR_SKIN_L_s01.stl,1507.607,0.3,0.25,79.543,4136.864,154.968,0.3,0.25,79.543,1995.738,160.474,yes
shape only,P09_DOOR_SKIN_L_s02.stl,66.953,0.092,0.092,84.445,1.905,6.394,0.092,0.092,84.445,8.265,16.182,
shape only,P09_DOOR_SKIN_L_s03.stl,1669.685,0.32,0.319,79.774,6142.007,167.514,0.32,0.319,79.774,3034.213,166.718,yes
shape only,P09_DOOR_SKIN_L_s04.stl,1204.135,0.355,0.341,89.017,3232.036,111.555,0.355,0.341,89.017,1582.085,116.785,yes
shape only,P09_DOOR_SKIN_L_s05.stl,1500.428,0.304,0.291,83.687,3261.936,127.296,0.304,0.291,83.687,2531.092,131.263,yes
shape only,P09_DOOR_SKIN_L_s05b.stl,30.17,0.417,0.417,80.007,6.381,6.366,0.417,0.417,80.007,10.659,10.225,
shape only,P09_DOOR_SKIN_L_s05c.stl,27.876,0.411,0.411,77.39,8.362,9.196,0.411,0.411,77.39,11.829,12.014,
shape only,P09_DOOR_SKIN_L_s06.stl,1673.901,0.317,0.317,87.637,5136.288,137.95,0.317,0.317,87.637,2406.927,138.285,yes
shape only,P09_DOOR_SKIN_L_s07.stl,937.007,0.351,0.26,88.734,1475.945,94.267,0.351,0.26,88.734,901.688,97.283,yes
shape only,P09_DOOR_SKIN_L_s08.stl,1482.632,0.333,0.302,84.745,3144.999,115.518,0.333,0.302,84.745,2209.806,119.273,yes
shape only,P09_DOOR_SKIN_L_s08b.stl,29.048,0.415,0.415,76.783,6.054,6.345,0.415,0.415,76.783,11.885,10.302,
shape only,P09_DOOR_SKIN_L_s09.stl,25.763,0.079,0.079,63.872,0.134,0.88,0.079,0.079,63.872,3.911,19.54,
shape only,P09_DOOR_SKIN_L_s10.stl,15.083,0.232,0.0,50.117,0.0,0.0,0.232,0.0,50.117,0.0,0.0,
shape only,P09_DOOR_SKIN_L_s11.stl,1671.943,0.318,0.302,87.736,5432.016,138.282,0.318,0.302,87.736,1768.405,140.556,yes
shape only,P09_DOOR_SKIN_L_s12.stl,983.071,0.338,0.249,88.673,1583.586,103.432,0.338,0.249,88.673,967.353,103.834,yes
shape only,P09_DOOR_SKIN_L_s13.stl,1531.906,0.299,0.299,85.07,2954.03,114.991,0.299,0.299,85.07,2520.335,117.577,
shape only,P09_DOOR_SKIN_L_s14.stl,67.163,0.424,0.0,58.426,0.0,0.0,0.424,0.0,58.426,0.0,0.0,
shape only,P09_DOOR_SKIN_L_s14b.stl,8.292,0.302,0.0,50.961,0.0,0.0,0.302,0.0,50.961,0.0,0.0,
shape only,P09_DOOR_SKIN_L_s15.stl,1703.046,0.305,0.305,89.16,5684.758,127.756,0.305,0.305,89.16,1142.546,128.297,yes
shape only,P09_DOOR_SKIN_L_s16.stl,1155.307,0.331,0.315,87.912,3117.862,104.331,0.338,0.322,89.317,904.178,108.084,yes
shape only,P09_DOOR_SKIN_L_s17.stl,1444.606,0.301,0.237,84.43,2718.504,131.948,0.301,0.237,84.43,1945.048,132.876,yes
shape only,P09_DOOR_SKIN_L_s17b.stl,50.881,0.44,0.0,54.383,0.0,0.0,0.44,0.0,54.383,0.0,0.0,
shape only,P09_DOOR_SKIN_L_s18.stl,24.41,0.401,0.213,68.01,2.433,4.689,0.401,0.213,68.01,3.338,6.434,
shape only,P09_DOOR_SKIN_L_s19.stl,22.779,0.381,0.381,74.311,1.732,2.354,0.381,0.381,74.311,5.607,6.58,
shape only,P09_DOOR_SKIN_L_s20.stl,1462.949,0.322,0.32,89.101,5035.807,121.409,0.322,0.32,89.101,837.717,124.268,yes
shape only,P09_DOOR_SKIN_L_s21.stl,1113.322,0.334,0.307,87.548,3164.834,126.547,0.341,0.313,89.319,1370.67,129.892,yes
shape only,P10_DOOR_SKIN_R_s01.stl,1507.607,0.3,0.25,79.543,4136.864,154.968,0.3,0.25,79.543,1995.738,160.474,yes
shape only,P10_DOOR_SKIN_R_s02.stl,66.953,0.088,0.088,84.405,1.898,6.295,0.092,0.092,84.405,8.267,16.272,
shape only,P10_DOOR_SKIN_R_s03.stl,1669.684,0.32,0.319,79.774,6141.913,167.514,0.32,0.319,79.774,3034.305,166.718,yes
shape only,P10_DOOR_SKIN_R_s04.stl,1204.134,0.355,0.341,84.433,3233.523,111.555,0.355,0.342,84.433,1582.442,116.889,yes
shape only,P10_DOOR_SKIN_R_s05.stl,1500.428,0.304,0.291,83.945,3262.073,127.296,0.304,0.291,83.945,2531.014,131.263,yes
shape only,P10_DOOR_SKIN_R_s05b.stl,30.17,0.417,0.417,80.059,6.398,6.843,0.417,0.417,80.059,10.642,10.235,
shape only,P10_DOOR_SKIN_R_s05c.stl,27.876,0.411,0.411,77.39,8.362,9.196,0.411,0.411,77.39,11.829,12.014,
shape only,P10_DOOR_SKIN_R_s06.stl,1673.9,0.317,0.317,87.637,5136.319,137.95,0.317,0.317,87.637,2406.88,138.285,yes
shape only,P10_DOOR_SKIN_R_s07.stl,937.007,0.351,0.26,88.734,1475.937,94.267,0.351,0.26,88.734,901.688,97.389,yes
shape only,P10_DOOR_SKIN_R_s08.stl,1482.632,0.333,0.302,84.745,3145.083,115.518,0.333,0.302,84.745,2209.768,119.273,yes
shape only,P10_DOOR_SKIN_R_s08b.stl,29.048,0.415,0.415,78.37,5.847,6.345,0.415,0.415,78.37,12.083,13.701,
shape only,P10_DOOR_SKIN_R_s09.stl,25.763,0.079,0.079,63.872,0.134,0.88,0.079,0.079,63.872,3.911,19.54,
shape only,P10_DOOR_SKIN_R_s10.stl,15.083,0.232,0.0,50.117,0.0,0.0,0.232,0.0,50.117,0.0,0.0,
shape only,P10_DOOR_SKIN_R_s11.stl,1671.944,0.318,0.302,87.736,5431.88,138.282,0.318,0.302,87.736,1768.523,140.556,yes
shape only,P10_DOOR_SKIN_R_s12.stl,983.066,0.337,0.249,88.673,1583.601,102.754,0.338,0.249,88.673,967.377,103.921,yes
shape only,P10_DOOR_SKIN_R_s13.stl,1531.907,0.299,0.299,85.07,2954.032,114.991,0.299,0.299,85.07,2520.334,117.577,
shape only,P10_DOOR_SKIN_R_s14.stl,67.163,0.424,0.0,58.426,0.0,0.0,0.424,0.0,58.426,0.0,0.0,
shape only,P10_DOOR_SKIN_R_s14b.stl,8.292,0.302,0.0,50.961,0.0,0.0,0.302,0.0,50.961,0.0,0.0,
shape only,P10_DOOR_SKIN_R_s15.stl,1703.045,0.305,0.305,89.16,5684.809,127.756,0.305,0.305,89.16,1142.46,128.297,yes
shape only,P10_DOOR_SKIN_R_s16.stl,1155.304,0.331,0.315,87.912,3118.26,104.331,0.338,0.322,89.318,904.193,108.084,yes
shape only,P10_DOOR_SKIN_R_s17.stl,1444.605,0.301,0.237,84.43,2718.517,131.948,0.301,0.237,84.43,1945.033,132.876,yes
shape only,P10_DOOR_SKIN_R_s17b.stl,50.881,0.44,0.0,54.383,0.0,0.0,0.44,0.0,54.383,0.0,0.0,
shape only,P10_DOOR_SKIN_R_s18.stl,24.41,0.401,0.213,68.01,2.433,4.689,0.401,0.213,68.01,3.338,6.434,
shape only,P10_DOOR_SKIN_R_s19.stl,22.779,0.381,0.381,74.311,1.732,2.354,0.381,0.381,74.311,5.607,6.58,
shape only,P10_DOOR_SKIN_R_s20.stl,1462.95,0.322,0.32,89.101,5035.999,121.409,0.322,0.32,89.101,837.468,124.268,yes
shape only,P10_DOOR_SKIN_R_s21.stl,1113.319,0.334,0.307,87.548,3164.665,126.547,0.341,0.313,89.319,1370.816,129.892,yes
shape only,P15_REAR_HAUNCH_L_s01.stl,629.973,0.353,0.201,78.758,661.495,80.59,0.353,0.201,78.758,459.844,52.325,yes
shape only,P15_REAR_HAUNCH_L_s02.stl,12.637,0.114,0.0,48.181,0.0,0.0,0.114,0.0,48.181,0.0,0.0,
shape only,P15_REAR_HAUNCH_L_s03.stl,20.743,0.397,0.0,56.261,0.0,0.0,0.397,0.0,56.261,0.0,0.0,
shape only,P15_REAR_HAUNCH_L_s04.stl,13.378,0.389,0.389,64.529,3.62,7.385,0.389,0.389,64.529,3.548,7.854,
shape only,P15_REAR_HAUNCH_L_s05.stl,17.234,0.397,0.0,57.143,0.0,0.0,0.397,0.0,57.143,0.0,0.0,
shape only,P15_REAR_HAUNCH_L_s06.stl,14.704,0.13,0.0,58.096,0.0,0.0,0.13,0.0,58.096,0.0,0.0,
shape only,P15_REAR_HAUNCH_L_s07.stl,1759.069,0.419,0.341,88.735,8133.664,153.609,0.419,0.341,88.735,1313.764,65.663,yes
shape only,P15_REAR_HAUNCH_L_s07b.stl,31.637,0.081,0.0,47.262,0.0,0.0,0.081,0.0,47.262,0.0,0.0,
shape only,P15_REAR_HAUNCH_L_s08.stl,2008.833,0.163,0.065,87.75,2196.526,229.274,0.163,0.065,87.75,820.476,228.271,yes
shape only,P15_REAR_HAUNCH_L_s09.stl,448.322,0.473,0.473,86.822,556.513,37.874,0.473,0.473,86.822,316.663,34.241,yes
shape only,P15_REAR_HAUNCH_L_s10.stl,58.946,0.446,0.446,89.388,11.714,5.799,0.446,0.446,89.388,11.449,7.185,
shape only,P15_REAR_HAUNCH_L_s11.stl,1799.424,0.287,0.172,89.758,5681.795,210.41,0.287,0.172,89.758,935.808,99.859,yes
shape only,P15_REAR_HAUNCH_L_s12.stl,755.563,0.482,0.482,86.749,832.311,34.225,0.482,0.482,86.749,534.141,32.313,yes
shape only,P15_REAR_HAUNCH_L_s13.stl,402.165,0.472,0.472,86.786,317.821,22.471,0.472,0.472,86.786,167.598,21.429,yes
shape only,P15_REAR_HAUNCH_L_s14.stl,1528.493,0.302,0.244,90.0,4946.608,150.265,0.302,0.244,90.0,774.149,125.921,yes
shape only,P15_REAR_HAUNCH_L_s15.stl,677.038,0.482,0.482,86.786,431.432,18.674,0.482,0.482,86.786,278.508,18.536,yes
shape only,P15_REAR_HAUNCH_L_s16.stl,83.656,0.295,0.0,57.315,0.0,0.0,0.295,0.0,57.315,0.0,0.0,
shape only,P15_REAR_HAUNCH_L_s17.stl,1718.8,0.263,0.02,87.843,497.361,199.271,0.263,0.02,87.843,206.381,201.337,yes
shape only,P15_REAR_HAUNCH_L_s17b.stl,5.85,0.144,0.144,76.127,0.038,0.732,0.144,0.144,76.127,0.597,7.303,
shape only,P15_REAR_HAUNCH_L_s18.stl,238.635,0.46,0.46,81.332,74.609,10.841,0.46,0.46,81.332,82.034,12.415,
shape only,P15_REAR_HAUNCH_L_s19.stl,123.935,0.43,0.43,76.001,29.218,9.599,0.43,0.43,76.001,48.456,12.636,
shape only,P15_REAR_HAUNCH_L_s20.stl,235.92,0.424,0.292,77.164,213.38,43.955,0.424,0.292,77.164,129.797,43.911,yes
shape only,P15_REAR_HAUNCH_L_s20b.stl,47.826,0.084,0.084,64.254,0.288,0.958,0.084,0.084,64.254,5.528,13.958,
shape only,P15_REAR_HAUNCH_L_s20c.stl,18.82,0.385,0.0,56.983,0.0,0.0,0.385,0.0,56.983,0.0,0.0,
shape only,P15_REAR_HAUNCH_L_s21.stl,1554.26,0.267,0.242,82.356,3020.471,119.408,0.267,0.242,82.356,1836.406,123.891,yes
shape only,P15_REAR_HAUNCH_L_s21b.stl,20.05,0.404,0.404,77.93,2.166,3.579,0.404,0.404,77.93,4.764,6.849,
shape only,P15_REAR_HAUNCH_L_s22.stl,1963.009,0.228,0.187,87.978,7178.746,215.914,0.228,0.187,87.978,879.624,218.895,yes
shape only,P16_REAR_HAUNCH_R_s01.stl,629.971,0.352,0.201,78.758,659.532,80.59,0.352,0.201,78.758,461.393,52.325,yes
shape only,P16_REAR_HAUNCH_R_s02.stl,12.637,0.114,0.0,48.181,0.0,0.0,0.114,0.0,48.181,0.0,0.0,
shape only,P16_REAR_HAUNCH_R_s03.stl,20.743,0.398,0.116,60.445,0.402,1.67,0.398,0.116,60.445,3.01,12.517,
shape only,P16_REAR_HAUNCH_R_s04.stl,13.378,0.389,0.389,64.529,3.62,7.385,0.389,0.389,64.529,3.548,7.854,
shape only,P16_REAR_HAUNCH_R_s05.stl,17.234,0.397,0.0,57.143,0.0,0.0,0.397,0.0,57.143,0.0,0.0,
shape only,P16_REAR_HAUNCH_R_s06.stl,14.704,0.13,0.0,58.096,0.0,0.0,0.13,0.0,58.096,0.0,0.0,
shape only,P16_REAR_HAUNCH_R_s07.stl,1759.07,0.419,0.341,88.823,8133.73,153.727,0.419,0.341,88.823,1313.674,65.663,yes
shape only,P16_REAR_HAUNCH_R_s07b.stl,31.637,0.081,0.0,47.262,0.0,0.0,0.081,0.0,47.262,0.0,0.0,
shape only,P16_REAR_HAUNCH_R_s08.stl,2008.831,0.161,0.066,87.75,2199.183,229.274,0.161,0.066,87.75,884.92,228.271,yes
shape only,P16_REAR_HAUNCH_R_s09.stl,448.322,0.473,0.473,86.822,556.513,37.874,0.473,0.473,86.822,316.663,34.241,yes
shape only,P16_REAR_HAUNCH_R_s10.stl,58.946,0.446,0.446,89.267,11.717,5.799,0.446,0.446,89.267,11.446,7.185,
shape only,P16_REAR_HAUNCH_R_s11.stl,1799.424,0.287,0.172,89.758,5681.798,210.41,0.287,0.172,89.758,935.806,99.859,yes
shape only,P16_REAR_HAUNCH_R_s12.stl,755.563,0.482,0.482,86.749,832.311,34.225,0.482,0.482,86.749,534.141,32.313,yes
