ID,NAME,SIDE,DESIGN_GROUP,ASSEMBLY_STEP,INSTALL_VECTOR,MANUFACTURING_METHOD,MATERIAL,NOMINAL_THICKNESS_MM,PANEL_GAP_MM,FLANGE_WIDTH_MM,OVERLAP_MM,STATUS,LENGTH,WIDTH,HEIGHT,VOLUME,ESTIMATED_MASS,MOUNT_COUNT,PRINT_SPLIT_COUNT
P18,BUTTRESS_R,R,REAR,11,+Z,printed master -> composite,GRP composite,2.5,4.0,20-35,10-20,YELLOW,NEEDS_GEOMETRY,NEEDS_GEOMETRY,NEEDS_GEOMETRY,NEEDS_GEOMETRY,NEEDS_GEOMETRY,NEEDS_BUILD_VOLUME
P19,REAR_DECK,-,REAR,12,+Z,printed master -> composite,GRP composite,2.5,4.0,20-35,10-20,RED,NEEDS_GEOMETRY,NEEDS_GEOMETRY,NEEDS_GEOMETRY,NEEDS_GEOMETRY,NEEDS_GEOMETRY,NEEDS_BUILD_VOLUME
P20,ENGINE_COVER,-,REAR,13,+Z,printed master -> composite,GRP composite,2.5,4.0,20-35,10-20,RED,NEEDS_GEOMETRY,NEEDS_GEOMETRY,NEEDS_GEOMETRY,NEEDS_GEOMETRY,NEEDS_GEOMETRY,NEEDS_BUILD_VOLUME
P21,REAR_FASCIA,-,REAR,14,-X,printed master -> composite,GRP composite,2.5,4.0,20-35,10-20,YELLOW,NEEDS_GEOMETRY,NEEDS_GEOMETRY,NEEDS_GEOMETRY,NEEDS_GEOMETRY,NEEDS_GEOMETRY,NEEDS_BUILD_VOLUME
P22,DIFFUSER,-,REAR,15,-X,printed master -> composite,GRP composite,2.5,4.0,20-35,10-20,RED,NEEDS_GEOMETRY,NEEDS_GEOMETRY,NEEDS_GEOMETRY,NEEDS_GEOMETRY,NEEDS_GEOMETRY,NEEDS_BUILD_VOLUME
P23,REAR_SPOILER,-,REAR,16,+Z,direct print or composite,GRP composite,2.5,4.0,20-35,10-20,RED,NEEDS_GEOMETRY,NEEDS_GEOMETRY,NEEDS_GEOMETRY,NEEDS_GEOMETRY,NEEDS_GEOMETRY,NEEDS_BUILD_VOLUME
P24,HEADLIGHT_HOUSING_L,L,LIGHTS,17,+X,"direct print, ASA",ASA,2.5,4.0,20-35,10-20,YELLOW,NEEDS_GEOMETRY,NEEDS_GEOMETRY,NEEDS_GEOMETRY,NEEDS_GEOMETRY,NEEDS_GEOMETRY,NEEDS_BUILD_VOLUME
P25,HEADLIGHT_HOUSING_R,R,LIGHTS,17,+X,"direct print, ASA",ASA,2.5,4.0,20-35,10-20,YELLOW,NEEDS_GEOMETRY,NEEDS_GEOMETRY,NEEDS_GEOMETRY,NEEDS_GEOMETRY,NEEDS_GEOMETRY,NEEDS_BUILD_VOLUME
P26,TAIL_HOUSING_L,L,LIGHTS,18,-X,"direct print, ASA",ASA,2.5,4.0,20-35,10-20,YELLOW,NEEDS_GEOMETRY,NEEDS_GEOMETRY,NEEDS_GEOMETRY,NEEDS_GEOMETRY,NEEDS_GEOMETRY,NEEDS_BUILD_VOLUME
P27,TAIL_HOUSING_R,R,LIGHTS,18,-X,"direct print, ASA",ASA,2.5,4.0,20-35,10-20,YELLOW,NEEDS_GEOMETRY,NEEDS_GEOMETRY,NEEDS_GEOMETRY,NEEDS_GEOMETRY,NEEDS_GEOMETRY,NEEDS_BUILD_VOLUME
